@relation bg

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute class {-1,1}

@data
-0.3591,0.6409,-1.3591,-0.3591,0.6409,1
2.03,3.03,1.03,2.03,3.03,1
1.7093,2.7093,0.70929,1.7093,2.7093,1
-0.4248,0.5752,-1.4248,-0.4248,0.5752,1
3.0324,4.0324,2.0324,3.0324,4.0324,1
3.1046,4.1046,2.1046,3.1046,4.1046,1
1.7826,2.7826,0.78262,1.7826,2.7826,1
-0.2059,0.7941,-1.2059,-0.2059,0.7941,1
-0.2791,0.7209,-1.2791,-0.2791,0.7209,1
1.0647,2.0647,0.064716,1.0647,2.0647,1
2.7707,3.7707,1.7707,2.7707,3.7707,1
0.4924,1.4924,-0.5076,0.4924,1.4924,1
0.78873,1.7887,-0.21127,0.78873,1.7887,1
2.4367,3.4367,1.4367,2.4367,3.4367,1
-0.2535,0.7465,-1.2535,-0.2535,0.7465,1
1.0543,2.0543,0.054329,1.0543,2.0543,1
1.8416,2.8416,0.8416,1.8416,2.8416,1
2.087,3.087,1.087,2.087,3.087,1
2.5857,3.5857,1.5857,2.5857,3.5857,1
1.379,2.379,0.37895,1.379,2.379,1
1.0597,2.0597,0.059681,1.0597,2.0597,1
2.8934,3.8934,1.8934,2.8934,3.8934,1
2.0413,3.0413,1.0413,2.0413,3.0413,1
1.3305,2.3305,0.33048,1.3305,2.3305,1
1.3811,2.3811,0.38111,1.3811,2.3811,1
1.1387,2.1387,0.13875,1.1387,2.1387,1
0.95032,1.9503,-0.049679,0.95032,1.9503,1
-1.0172,-0.0172,-2.0172,-1.0172,-0.0172,1
0.74026,1.7403,-0.25974,0.74026,1.7403,1
0.52517,1.5252,-0.47483,0.52517,1.5252,1
2.6779,3.6779,1.6779,2.6779,3.6779,1
1.4822,2.4821,0.48215,1.4822,2.4821,1
1.1129,2.1129,0.11291,1.1129,2.1129,1
0.42478,1.4248,-0.57522,0.42478,1.4248,1
1.6036,2.6036,0.60363,1.6036,2.6036,1
1.5794,2.5794,0.57937,1.5794,2.5794,1
0.52755,1.5275,-0.47245,0.52755,1.5275,-1
1.5111,2.5111,0.51105,1.5111,2.5111,-1
1.0268,2.0268,0.026813,1.0268,2.0268,-1
0.31773,1.3177,-0.68227,0.31773,1.3177,-1
1.6171,2.6171,0.61709,1.6171,2.6171,-1
0.643,1.643,-0.357,0.643,1.643,-1
2.7506,3.7506,1.7506,2.7506,3.7506,-1
0.68218,1.6822,-0.31782,0.68218,1.6822,-1
1.6546,2.6547,0.65465,1.6546,2.6547,-1
0.80909,1.8091,-0.19091,0.80909,1.8091,-1
1.2029,2.2029,0.20286,1.2029,2.2029,-1
0.40365,1.4036,-0.59635,0.40365,1.4036,-1
0.22481,1.2248,-0.77519,0.22481,1.2248,-1
0.90576,1.9058,-0.094242,0.90576,1.9058,-1
1.5078,2.5078,0.50779,1.5078,2.5078,-1
0.09757,1.0976,-0.90243,0.09757,1.0976,-1
1.9919,2.9919,0.99186,1.9919,2.9919,-1
-0.4978,0.5022,-1.4978,-0.4978,0.5022,-1
1.3785,2.3785,0.37849,1.3785,2.3785,-1
1.9139,2.9139,0.91389,1.9139,2.9139,-1
1.435,2.435,0.43504,1.435,2.435,-1
0.73598,1.736,-0.26402,0.73598,1.736,-1
0.50587,1.5059,-0.49413,0.50587,1.5059,-1
-1.3082,-0.3082,-2.3082,-1.3082,-0.3082,-1
-0.3563,0.6437,-1.3563,-0.3563,0.6437,-1
1.7997,2.7997,0.79968,1.7997,2.7997,-1
0.29054,1.2905,-0.70946,0.29054,1.2905,-1
0.18749,1.1875,-0.81251,0.18749,1.1875,-1
-0.5304,0.4696,-1.5304,-0.5304,0.4696,-1
2.0218,3.0218,1.0218,2.0218,3.0218,-1
-1.084,-0.084,-2.084,-1.084,-0.084,-1
-1.141,-0.141,-2.141,-1.141,-0.141,-1
1.0203,2.0203,0.020315,1.0203,2.0203,-1
0.32967,1.3297,-0.67033,0.32967,1.3297,-1
-1.1716,-0.1716,-2.1716,-1.1716,-0.1716,-1
0.31055,1.3106,-0.68945,0.31055,1.3106,-1
-0.927,0.073,-1.927,-0.927,0.073,-1
-0.9238,0.0762,-1.9238,-0.9238,0.0762,-1
0.63846,1.6385,-0.36154,0.63846,1.6385,-1
-1.0079,-0.0079,-2.0079,-1.0079,-0.0079,-1
0.89297,1.893,-0.10703,0.89297,1.893,-1
1.7393,2.7393,0.73926,1.7393,2.7393,-1
-0.2454,0.7546,-1.2454,-0.2454,0.7546,-1
-0.3598,0.6402,-1.3598,-0.3598,0.6402,-1
-0.1581,0.8419,-1.1581,-0.1581,0.8419,-1
1.1145,2.1145,0.1145,1.1145,2.1145,-1
0.86844,1.8684,-0.13156,0.86844,1.8684,-1
0.40909,1.4091,-0.59091,0.40909,1.4091,-1
0.74269,1.7427,-0.25731,0.74269,1.7427,-1
1.6126,2.6126,0.61258,1.6126,2.6126,-1
0.18455,1.1845,-0.81545,0.18455,1.1845,-1
0.13753,1.1375,-0.86247,0.13753,1.1375,-1
-0.3235,0.6765,-1.3235,-0.3235,0.6765,-1
0.97103,1.971,-0.028967,0.97103,1.971,-1
0.71089,1.7109,-0.28911,0.71089,1.7109,-1
0.21511,1.2151,-0.78489,0.21511,1.2151,-1
0.5038,1.5038,-0.4962,0.5038,1.5038,-1
-1.1854,-0.1854,-2.1854,-1.1854,-0.1854,-1
0.15473,1.1547,-0.84527,0.15473,1.1547,-1
0.21252,1.2125,-0.78748,0.21252,1.2125,-1
1.983,2.983,0.98305,1.983,2.983,-1
0.10535,1.1054,-0.89465,0.10535,1.1054,-1
-0.0504,0.9496,-1.0504,-0.0504,0.9496,-1
0.42827,1.4283,-0.57173,0.42827,1.4283,-1
1.3126,2.3126,0.31261,1.3126,2.3126,-1
2.6471,3.6471,1.6471,2.6471,3.6471,-1
-1.4788,-0.4788,-2.4788,-1.4788,-0.4788,-1
0.41485,1.4148,-0.58515,0.41485,1.4148,-1
-1.0098,-0.0098,-2.0098,-1.0098,-0.0098,-1
0.43989,1.4399,-0.56011,0.43989,1.4399,-1
0.91818,1.9182,-0.081816,0.91818,1.9182,-1
0.12363,1.1236,-0.87637,0.12363,1.1236,-1
0.76095,1.761,-0.23905,0.76095,1.761,-1
0.05102,1.051,-0.94898,0.05102,1.051,-1
-0.1569,0.8431,-1.1569,-0.1569,0.8431,-1
0.7855,1.7855,-0.2145,0.7855,1.7855,-1
-0.351,0.649,-1.351,-0.351,0.649,-1
2.2702,3.2702,1.2702,2.2702,3.2702,-1
0.53651,1.5365,-0.46349,0.53651,1.5365,-1
0.36081,1.3608,-0.63919,0.36081,1.3608,-1
0.6006,1.6006,-0.3994,0.6006,1.6006,-1
0.26389,1.2639,-0.73611,0.26389,1.2639,-1
-1.1864,-0.1864,-2.1864,-1.1864,-0.1864,-1
0.6052,1.6052,-0.3948,0.6052,1.6052,-1
-0.7316,0.2684,-1.7316,-0.7316,0.2684,-1
1.5258,2.5258,0.52584,1.5258,2.5258,-1
-0.1463,0.8537,-1.1463,-0.1463,0.8537,-1
1.2128,2.2128,0.2128,1.2128,2.2128,-1
-1.4394,-0.4394,-2.4394,-1.4394,-0.4394,-1
-0.7131,0.2869,-1.7131,-0.7131,0.2869,-1
0.83958,1.8396,-0.16042,0.83958,1.8396,-1
0.1438,1.1438,-0.8562,0.1438,1.1438,-1
-0.7047,0.2953,-1.7047,-0.7047,0.2953,-1
1.7548,2.7548,0.75481,1.7548,2.7548,-1
0.68768,1.6877,-0.31232,0.68768,1.6877,-1
0.16102,1.161,-0.83898,0.16102,1.161,-1
1.7963,2.7963,0.79635,1.7963,2.7963,-1
-1.5316,-0.5316,-2.5316,-1.5316,-0.5316,-1
-0.7126,0.2874,-1.7126,-0.7126,0.2874,-1
0.16701,1.167,-0.83299,0.16701,1.167,-1
